idx|chapter|sec|no|content|lang
769|16|3|3|So after Abram had been living for ten years in the land of Canaan, Sarai took Hagar, her Egyptian servant, and gave her to Abram for his wife.|en
770|16|4|4|亞伯蘭與夏甲同房，夏甲就懷了孕；他見自己有孕，就小看他的主母。|zh
771|16|4|4|And he went in to Hagar and she became with child, and when she saw that she was with child, she no longer had any respect for her master's wife.|en
772|16|5|5|撒萊對亞伯蘭說：我因你受屈。我將我的使女放在你懷中，他見自己有了孕，就小看我。願耶和華在你我中間判斷。|zh
773|16|5|5|And Sarai said to Abram, May my wrong be on you: I gave you my servant for your wife and when she saw that she was with child, she no longer had any respect for me: may the Lord be judge between you and me.|en
774|16|6|6|亞伯蘭對撒萊說：使女在你手下，你可以隨意待他。撒萊苦待他，他就從撒萊面前逃走了。|zh
775|16|6|6|And Abram said, The woman is in your power; do with her whatever seems good to you. And Sarai was cruel to her, so that she went running away from her.|en
776|16|7|7|耶和華的使者在曠野書珥路上的水泉旁遇見他，|zh
777|16|7|7|And an angel of the Lord came to her by a fountain of water in the waste land, by the fountain on the way to Shur.|en
778|16|8|8|對他說：撒萊的使女夏甲，你從那裡來？要往那裡去？夏甲說：我從我的主母撒萊面前逃出來。|zh
779|16|8|8|And he said, Hagar, Sarai's servant, where have you come from and where are you going? And she said, I am running away from Sarai, my master's wife.|en
780|16|9|9|耶和華的使者對他說：你回到你主母那裡，服在他手下；|zh
781|16|9|9|And the angel said to her, Go back, and put yourself under her authority.|en
782|16|10|10|又說：我必使你的後裔極其繁多，甚至不可勝數；|zh
783|16|10|10|And the angel of the Lord said, Your seed will be greatly increased so that it may not be numbered.|en
784|16|11|11|並說：你如今懷孕要生一個兒子，可以給他起名叫以實瑪利，因為耶和華聽見了你的苦情。(以實瑪利就是神聽見的意思)|zh
785|16|11|11|And the angel of the Lord said, See, you are with child and will give birth to a son, to whom you will give the name Ishmael, because the ears of the Lord were open to your sorrow.|en
786|16|12|12|他為人必像野驢。他的手要攻打人，人的手也要攻打他；他必住在眾弟兄的東邊。|zh
787|16|12|12|And he will be like a mountain ass among men; his hand will be against every man and every man's hand against him, and he will keep his place against all his brothers.|en
788|16|13|13|夏甲就稱那對他說話的耶和華為看顧人的神。因而說：在這裡我也看見那看顧我的麼？|zh
789|16|13|13|And to the Lord who was talking with her she gave this name, You are a God who is seen; for she said, Have I not even here in the waste land had a vision of God and am still living?|en
790|16|14|14|所以這井名叫庇耳拉海萊。這井正在加低斯和巴列中間。|zh
791|16|14|14|So that fountain was named, Fountain of Life and Vision: it is between Kadesh and Bered.|en
792|16|15|15|後來夏甲給亞伯蘭生了一個兒子；亞伯蘭給他起名叫以實瑪利。|zh
793|16|15|15|And Hagar gave birth to a child, the son of Abram, to whom Abram gave the name of Ishmael.|en
794|16|16|16|夏甲給亞伯蘭生以實瑪利的時候，亞伯蘭年八十六歲。|zh
795|16|16|16|Abram was eighty-six years old when Hagar gave birth to Ishmael.|en
796|17|1|1|亞伯蘭年九十九歲的時候，耶和華向他顯現，對他說：我是全能的神。你當在我面前作完全人，|zh
797|17|1|1|When Abram was ninety-nine years old, the Lord came to him, and said, I am God, Ruler of all; go in my ways and be upright in all things,|en
798|17|2|2|我就與你立約，使你的後裔極其繁多。|zh
799|17|2|2|And I will make an agreement between you and me, and your offspring will be greatly increased.|en
800|17|3|3|亞伯蘭俯伏在地；神又對他說：|zh
801|17|3|3|And Abram went down on his face on the earth, and the Lord God went on talking with him, and said,|en
802|17|4|4|我與你立約：你要作多國的父。|zh
803|17|4|4|As for me, my agreement is made with you, and you will be the father of nations without end.|en
804|17|5|5|從此以後，你的名不再叫亞伯蘭，要叫亞伯拉罕，因為我已立你作多國的父。|zh
805|17|5|5|No longer will your name be Abram, but Abraham, for I have made you the father of a number of nations.|en
806|17|6|6|我必使你的後裔極其繁多；國度從你而立，君王從你而出。|zh
807|17|6|6|I will make you very fertile, so that nations will come from you and kings will be your offspring.|en
808|17|7|7|我要與你並你世世代代的後裔堅立我的約，作永遠的約，是要作你和你後裔的神。|zh
809|17|7|7|And I will make between me and you and your seed after you through all generations, an eternal agreement to be a God to you and to your seed after you.|en
810|17|8|8|我要將你現在寄居的地，就是迦南全地，賜給你和你的後裔永遠為業，我也必作他們的神。|zh
811|17|8|8|And to you and to your seed after you, I will give the land in which you are living, all the land of Canaan for an eternal heritage; and I will be their God.|en
812|17|9|9|神又對亞伯拉罕說：你和你的後裔必世世代代遵守我的約。|zh
813|17|9|9|And God said to Abraham, On your side, you are to keep the agreement, you and your seed after you through all generations.|en
814|17|10|10|你們所有的男子都要受割禮；這就是我與你並你的後裔所立的約，是你們所當遵守的。|zh
815|17|10|10|And this is the agreement which you are to keep with me, you and your seed after you: every male among you is to undergo circumcision.|en
816|17|11|11|你們都要受割禮(原文作割陽皮；14，23，24，25節同)；這是我與你們立約的證據。|zh
817|17|11|11|In the flesh of your private parts you are to undergo it, as a mark of the agreement between me and you.|en
818|17|12|12|你們世世代代的男子，無論是家裡生的，是在你後裔之外用銀子從外人買的，生下來第八日，都要受割禮。|zh
819|17|12|12|Every male among you, from one generation to another, is to undergo circumcision when he is eight days old, with every servant whose birth takes place in your house, or for whom you gave money to someone of another country, and not of your seed.|en
820|17|13|13|你家裡生的和你用銀子買的，都必須受割禮。這樣，我的約就立在你們肉體上作永遠的約。|zh
821|17|13|13|He who comes to birth in your house and he who is made yours for a price, all are to undergo circumcision; so that my agreement may be marked in your flesh, an agreement for all time.|en
822|17|14|14|但不受割禮的男子必從民中剪除，因他背了我的約。|zh
823|17|14|14|And any male who does not undergo circumcision will be cut off from his people: my agreement has been broken by him.|en
824|17|15|15|神又對亞伯拉罕說：你的妻子撒萊不可再叫撒萊，他的名要叫撒拉。|zh
825|17|15|15|And God said, As for Sarai, your wife, from now her name will be not Sarai, but Sarah.|en
826|17|16|16|我必賜福給他，也要使你從他得一個兒子。我要賜福給他，他也要作多國之母；必有百姓的君王從他而出。|zh
827|17|16|16|And I will give her a blessing so that you will have a son by her: truly my blessing will be on her, and she will be the mother of nations: kings of peoples will be her offspring.|en
828|17|17|17|亞伯拉罕就俯伏在地喜笑，心裡說：一百歲的人還能得孩子麼？撒拉已經九十歲了，還能生養麼？|zh
829|17|17|17|Then Abraham went down on his face, and laughing, said in his heart, May a man a hundred years old have a child? will Sarah, at ninety years old, give birth?|en
830|17|18|18|亞伯拉罕對神說：但願以實瑪利活在你面前。|zh
831|17|18|18|And Abraham said to God, If only Ishmael's life might be your care!|en
832|17|19|19|神說：不然，你妻子撒拉要給你生一個兒子，你要給他起名叫以撒。我要與他堅定所立的約，作他後裔永遠的約。|zh
833|17|19|19|And God said, Not so; but Sarah, your wife, will have a son, and you will give him the name Isaac, and I will make my agreement with him for ever and with his seed after him.|en
834|17|20|20|至於以實瑪利，我也應允你：我必賜福給他，使他昌盛，極其繁多。他必生十二個族長；我也要使他成為大國。|zh
835|17|20|20|As for Ishmael, I have given ear to your prayer: truly I have given him my blessing and I will make him fertile and give him great increase; he will be the father of twelve chiefs, and I will make him a great nation.|en
836|17|21|21|到明年這時節，撒拉必給你生以撒，我要與他堅定所立的約。|zh
837|17|21|21|But my agreement will be with Isaac, to whom Sarah will give birth a year from this time.|en
838|17|22|22|神和亞伯拉罕說完了話，就離開他上升去了。|zh
839|17|22|22|And having said these words, God went up from Abraham.|en
840|17|23|23|正當那日，亞伯拉罕遵著神的命，給他的兒子以實瑪利和家裡的一切男子，無論是在家裡生的，是用銀子買的，都行了割禮。|zh
841|17|23|23|And Abraham took Ishmael, his son, and all whose birth had taken place in his house, and all his servants whom he had made his for a price, every male of his house, and on that very day he gave them circumcision in the flesh of their private parts as God had said to him.|en
842|17|24|24|亞伯拉罕受割禮的時候年九十九歲。|zh
843|17|24|24|Abraham was ninety-nine years old when he underwent circumcision.|en
844|17|25|25|他兒子以實瑪利受割禮的時候年十三歲。|zh
845|17|25|25|And Ishmael, his son, was thirteen years old when he underwent circumcision.|en
846|17|26|26|正當那日，亞伯拉罕和他兒子以實瑪利一同受了割禮。|zh
847|17|26|26|Abraham and Ishmael, his son, underwent circumcision on that very day.|en
848|17|27|27|家裡所有的人，無論是在家裡生的，是用銀子從外人買的，也都一同受了割禮。|zh
849|17|27|27|And all the men of his house, those whose birth had taken place in the house and those whom he had got for money from men of other lands, underwent circumcision with him.|en
850|18|1|1|耶和華在幔利橡樹那裡向亞伯拉罕顯現出來。那時正熱，亞伯拉罕坐在帳棚門口，|zh
851|18|1|1|Now the Lord came to him by the holy tree of Mamre, when he was seated in the doorway of his tent in the middle of the day;|en
852|18|2|2|舉目觀看，見有三個人在對面站著。他一見，就從帳棚門口跑去迎接他們，俯伏在地，|zh
853|18|2|2|And lifting up his eyes, he saw three men before him; and seeing them, he went quickly to them from the door of the tent, and went down on his face to the earth;|en
854|18|3|3|說：我主，我若在你眼前蒙恩，求你不要離開僕人往前去。|zh
855|18|3|3|And said, My Lord, if now I have grace in your eyes, do not go away from your servant:|en
856|18|4|4|容我拿點水來，你們洗洗腳，在樹下歇息歇息。|zh
857|18|4|4|Let me get water for washing your feet, and take your rest under the tree:|en
858|18|5|5|我再拿一點餅來，你們可以加添心力，然後往前去。你們既到僕人這裡來，理當如此。他們說：就照你說的行罷。|zh
859|18|5|5|And let me get a bit of bread to keep up your strength, and after that you may go on your way: for this is why you have come to your servant. And they said, Let it be so.|en
860|18|6|6|亞伯拉罕急忙進帳棚見撒拉，說：你速速拿三細亞細麵調和作餅。|zh
861|18|6|6|Then Abraham went quickly into the tent, and said to Sarah, Get three measures of meal straight away and make cakes.|en
862|18|7|7|亞伯拉罕又跑到牛群裡，牽了一隻又嫩又好的牛犢來，交給僕人，僕人急忙預備好了。|zh
863|18|7|7|And running to the herd, he took a young ox, soft and fat, and gave it to the servant and he quickly made it ready;|en
864|18|8|8|亞伯拉罕又取了奶油和奶，並預備好的牛犢來，擺在他們面前，自己在樹下站在旁邊，他們就吃了。|zh
865|18|8|8|And he took butter and milk and the young ox which he had made ready and put it before them, waiting by them under the tree while they took food.|en
866|18|9|9|他們問亞伯拉罕說：你妻子撒拉在那裡？他說：在帳棚裡。|zh
867|18|9|9|And they said to him, Where is Sarah your wife? And he said, She is in the tent.|en
868|18|10|10|三人中有一位說：到明年這時候，我必要回到你這裡；你的妻子撒拉必生一個兒子。撒拉在那人後邊的帳棚門口也聽見了這話。|zh
869|18|10|10|And he said, I will certainly come back to you in the spring, and Sarah your wife will have a son. And his words came to the ears of Sarah who was at the back of the tent-door.|en
870|18|11|11|亞伯拉罕和撒拉年紀老邁，撒拉的月經已斷絕了。|zh
871|18|11|11|Now Abraham and Sarah were very old, and Sarah was past the time for giving birth.|en
872|18|12|12|撒拉心裡暗笑，說：我既已衰敗，我主也老邁，豈能有這喜事呢？|zh
873|18|12|12|And Sarah, laughing to herself, said, Now that I am used up am I still to have pleasure, my husband himself being old?|en
874|18|13|13|耶和華對亞伯拉罕說：撒拉為甚麼暗笑，說：我既已年老，果真能生養麼？|zh
875|18|13|13|And the Lord said, Why was Sarah laughing and saying, Is it possible for me, being old, to give birth to a child?|en
876|18|14|14|耶和華豈有難成的事麼？到了日期，明年這時候，我必回到你這裡，撒拉必生一個兒子。|zh
877|18|14|14|Is there any wonder which the Lord is not able to do? At the time I said, in the spring, I will come back to you, and Sarah will have a child.|en
878|18|15|15|撒拉就害怕，不承認，說：我沒有笑。那位說：不然，你實在笑了。|zh
879|18|15|15|Then Sarah said, I was not laughing; for she was full of fear. And he said, No, but you were laughing.|en
880|18|16|16|三人就從那裡起行，向所多瑪觀看，亞伯拉罕也與他們同行，要送他們一程。|zh
881|18|16|16|And the men went on from there in the direction of Sodom; and Abraham went with them on their way.|en
882|18|17|17|耶和華說：我所要作的事豈可瞞著亞伯拉罕呢？|zh
883|18|17|17|And the Lord said, Am I to keep back from Abraham the knowledge of what I do;|en
884|18|18|18|亞伯拉罕必要成為強大的國；地上的萬國都必因他得福。|zh
885|18|18|18|Seeing that Abraham will certainly become a great and strong nation, and his name will be used by all the nations of the earth as a blessing?|en
886|18|19|19|我眷顧他，為要叫他吩咐他的眾子和他的眷屬遵守我的道，秉公行義，使我所應許亞伯拉罕的話都成就了。|zh
887|18|19|19|For I have made him mine so that he may give orders to his children and those of his line after him, to keep the ways of the Lord, to do what is good and right: so that the Lord may do to Abraham as he has said.|en
888|18|20|20|耶和華說：所多瑪和蛾摩拉的罪惡甚重，聲聞於我。|zh
889|18|20|20|And the Lord said, Because the outcry against Sodom and Gomorrah is very great, and their sin is very evil,|en
890|18|21|21|我現在要下去，察看他們所行的，果然盡像那達到我耳中的聲音一樣麼？若是不然，我也必知道。|zh
891|18|21|21|I will go down now, and see if their acts are as bad as they seem from the outcry which has come to me; and if they are not, I will see.|en
892|18|22|22|二人轉身離開那裡，向所多瑪去；但亞伯拉罕仍舊站在耶和華面前。|zh
893|18|22|22|And the men, turning from that place, went on to Sodom: but Abraham was still waiting before the Lord.|en
894|18|23|23|亞伯拉罕近前來，說：無論善惡，你都要剿滅麼？|zh
895|18|23|23|And Abraham came near, and said, Will you let destruction come on the upright with the sinners?|en
896|18|24|24|假若那城裡有五十個義人，你還剿滅那地方麼？不為城裡這五十個義人饒恕其中的人麼？|zh
897|18|24|24|If by chance there are fifty upright men in the town, will you give the place to destruction and not have mercy on it because of the fifty upright men?|en
898|18|25|25|將義人與惡人同殺，將義人與惡人一樣看待，這斷不是你所行的。審判全地的主豈不行公義麼？|zh
899|18|25|25|Let such a thing be far from you, to put the upright to death with the sinner: will not the judge of all the earth do right?|en
900|18|26|26|耶和華說：我若在所多瑪城裡見有五十個義人，我就為他們的緣故饒恕那地方的眾人。|zh
901|18|26|26|And the Lord said, If there are fifty upright men in the town, I will have mercy on it because of them.|en
902|18|27|27|亞伯拉罕說：我雖然是灰塵，還敢對主說話。|zh
903|18|27|27|And Abraham answering said, Truly, I who am only dust, have undertaken to put my thoughts before the Lord:|en
904|18|28|28|假若這五十個義人短了五個，你就因為短了五個毀滅全城麼？他說：我在那裡若見有四十五個，也不毀滅那城。|zh
905|18|28|28|If by chance there are five less than fifty upright men, will you give up all the town to destruction because of these five? And he said, I will not give it to destruction if there are forty-five.|en
906|18|29|29|亞伯拉罕又對他說：假若在那裡見有四十個怎麼樣呢？他說：為這四十個的緣故，我也不作這事。|zh
907|18|29|29|And again he said to him, By chance there may be forty there. And he said, I will not do it if there are forty.|en
908|18|30|30|亞伯拉罕說：求主不要動怒，容我說，假若在那裡見有三十個怎麼樣呢？他說：我在那裡若見有三十個，我也不作這事。|zh
909|18|30|30|And he said, Let not the Lord be angry with me if I say, What if there are thirty there? And he said, I will not do it if there are thirty.|en
910|18|31|31|亞伯拉罕說：我還敢對主說話，假若在那裡見有二十個怎麼樣呢？他說：為這二十個的緣故，我也不毀滅那城。|zh
911|18|31|31|And he said, See now, I have undertaken to put my thoughts before the Lord: what if there are twenty there? And he said, I will have mercy because of the twenty.|en
912|18|32|32|亞伯拉罕說：求主不要動怒，我再說這一次，假若在那裡見有十個呢？他說：為這十個的緣故，我也不毀滅那城。|zh
913|18|32|32|And he said, O let not the Lord be angry and I will say only one word more: by chance there may be ten there. And he said, I will have mercy because of the ten.|en
914|18|33|33|耶和華與亞伯拉罕說完了話就走了；亞伯拉罕也回到自己的地方去了。|zh
915|18|33|33|And the Lord went on his way when his talk with Abraham was ended, and Abraham went back to his place.|en
916|19|1|1|那兩個天使晚上到了所多瑪；羅得正坐在所多瑪城門口，看見他們，就起來迎接，臉伏於地下拜，|zh
917|19|1|1|And at nightfall the two angels came to Sodom; and Lot was seated at the way into the town: and when he saw them he got up and came before them, falling down on his face to the earth.|en
918|19|2|2|說：我主阿，請你們到僕人家裡洗洗腳，住一夜，清早起來再走。他們說：不！我們要在街上過夜。|zh
919|19|2|2|And he said, My masters, come now into your servant's house and take your rest there for the night, and let your feet be washed; and early in the morning you may go on your way. And they said, Not so, but we will take our night's rest in the street.|en
920|19|3|3|羅得切切的請他們，他們這才進去，到他屋裡。羅得為他們預備筵席，烤無酵餅，他們就吃了。|zh
921|19|3|3|But he made his request more strongly, so they went with him into his house; and he got food ready for them, and made unleavened bread, of which they took.|en
922|19|4|4|他們還沒有躺下，所多瑪城裡各處的人，連老帶少，都來圍住那房子，|zh
923|19|4|4|But before they had gone to bed, the men of the town, all the men of Sodom, came round the house, young and old, from every part of the town;|en
924|19|5|5|呼叫羅得說：今日晚上到你這裡來的人在那裡呢？把他們帶出來，任我們所為。|zh
925|19|5|5|And crying out to Lot, they said, Where are the men who came to your house this night? Send them out to us, so that we may take our pleasure with them.|en
926|19|6|6|羅得出來，把門關上，到眾人那裡，|zh
927|19|6|6|And Lot went out to them in the doorway, shutting the door after him.|en
928|19|7|7|說：眾弟兄，請你們不要作這惡事。|zh
929|19|7|7|And he said, My brothers, do not this evil.|en
930|19|8|8|我有兩個女兒，還是處女，容我領出來，任憑你們的心願而行；只是這兩個人既然到我舍下，不要向他們作甚麼。|zh
931|19|8|8|See now, I have two unmarried daughters; I will send them out to you so that you may do to them whatever seems good to you: only do nothing to these men, for this is why they have come under the shade of my roof.|en
932|19|9|9|眾人說：退去罷！又說：這個人來寄居，還想要作官哪！現在我們要害你比害他們更甚。眾人就向前擁擠羅得，要攻破房門。|zh
933|19|9|9|And they said, Give way there. This one man, they said, came here from a strange country, and will he now be our judge? now we will do worse to you than to them; and pushing violently against Lot, they came near to get the door broken in.|en
934|19|10|10|只是那二人伸出手來，將羅得拉進屋去，把門關上，|zh
935|19|10|10|But the men put out their hands and took Lot into the house to them, shutting the door again.|en
936|19|11|11|並且使門外的人，無論老少，眼都昏迷；他們摸來摸去，總尋不著房門。|zh
937|19|11|11|But the men who were outside the door they made blind, all of them, small and great, so that they were tired out with looking for the door.|en
938|19|12|12|二人對羅得說：你這裡還有甚麼人麼？無論是女婿是兒女，和這城中一切屬你的人，你都要將他們從這地方帶出去。|zh
939|19|12|12|Then the men said to Lot, Are there any others of your family here? sons-in-law or sons or daughters, take them all out of this place;|en
940|19|13|13|我們要毀滅這地方；因為城內罪惡的聲音在耶和華面前甚大，耶和華差我們來，要毀滅這地方。|zh
941|19|13|13|For we are about to send destruction on this place, because a great outcry against them has come to the ears of the Lord; and the Lord has sent us to put an end to the town.|en
942|19|14|14|羅得就出去，告訴娶了(或作將要娶)他女兒的女婿們說：你們起來離開這地方，因為耶和華要毀滅這城。他女婿們卻以為他說的是戲言。|zh
943|19|14|14|And Lot went out and said to his sons-in-law, who were married to his daughters, Come, let us go out of this place, for the Lord is about to send destruction on the town. But his sons-in-law did not take him seriously.|en
944|19|15|15|天明了，天使催逼羅得說：起來！帶著你的妻子和你在這裡的兩個女兒出去，免得你因這城裡的罪惡同被剿滅。|zh
945|19|15|15|And when morning came, the angels did all in their power to make Lot go, saying, Get up quickly and take your wife and your two daughters who are here, and go, for fear that you come to destruction in the punishment of the town.|en
946|19|16|16|但羅得遲延不走。二人因為耶和華憐恤羅得，就拉著他的手和他妻子的手，並他兩個女兒的手，把他們領出來，安置在城外；|zh
947|19|16|16|But while he was waiting, the men took him and his wife and his daughters by the hand, for the Lord had mercy on them, and put them outside the town.|en
948|19|17|17|領他們出來以後，就說：逃命罷！不可回頭看，也不可在平原站住。要往山上逃跑，免得你被剿滅。|zh
949|19|17|17|And when they had put them out, he said, Go for your life, without looking back or waiting in the lowland; go quickly to the mountain or you will come to destruction.|en
950|19|18|18|羅得對他們說：我主阿，不要如此！|zh
951|19|18|18|And Lot said to them, Not so, O my Lord;|en
952|19|19|19|你僕人已經在你眼前蒙恩；你又向我顯出莫大的慈愛，救我的性命。我不能逃到山上去，恐怕這災禍臨到我，我便死了。|zh
953|19|19|19|See now, your servant has had grace in your eyes and great is your mercy in keeping my life from destruction, but I am not able to get as far as the mountain before evil overtakes me and death;|en
954|19|20|20|看哪，這座城又小又近，容易逃到，這不是一個小的麼？求你容我逃到那裡，我的性命就得存活。|zh
955|19|20|20|This town, now, is near, and it is a little one: O, let me go there (is it not a little one?) so that my life may be safe.|en
956|19|21|21|天使對他說：這事我也應允你；我不傾覆你所說的這城。|zh
957|19|21|21|And he said, See, I have given you your request in this one thing more: I will not send destruction on this town.|en
958|19|22|22|你要速速地逃到那城；因為你還沒有到那裡，我不能作甚麼。因此那城名叫瑣珥(就是小的意思)。|zh
959|19|22|22|Go there quickly, for I am not able to do anything till you have come there. For this reason, the town was named Zoar.|en
960|19|23|23|羅得到了瑣珥，日頭已經出來了。|zh
961|19|23|23|The sun was up when Lot came to Zoar.|en
962|19|24|24|當時，耶和華將硫磺與火從天上耶和華那裡降與所多瑪和蛾摩拉，|zh
963|19|24|24|Then the Lord sent fire and flaming smoke raining down from heaven on Sodom and Gomorrah.|en
964|19|25|25|把那些城和全平原，並城裡所有的居民，連地上生長的，都毀滅了。|zh
965|19|25|25|And he sent destruction on those towns, with all the lowland and all the people of those towns and every green thing in the land.|en
966|19|26|26|羅得的妻子在後邊回頭一看，就變成了一根鹽柱。|zh
967|19|26|26|But Lot's wife, looking back, became a pillar of salt.|en
968|19|27|27|亞伯拉罕清早起來，到了他從前站在耶和華面前的地方，|zh
969|19|27|27|And Abraham got up early in the morning and went to the place where he had been talking with the Lord:|en
970|19|28|28|向所多瑪和蛾摩拉與平原的全地觀看，不料，那地方煙氣上騰，如同燒窯一般。|zh
971|19|28|28|And looking in the direction of Sodom and Gomorrah and the lowland, he saw the smoke of the land going up like the smoke of an oven.|en
972|19|29|29|當神毀滅平原諸城的時候，他記念亞伯拉罕，正在傾覆羅得所住之城的時候，就打發羅得從傾覆之中出來。|zh
973|19|29|29|So it came about that when God sent destruction on the towns of the lowland, he kept his word to Abraham, and sent Lot safely away when he put an end to the towns where he was living.|en
974|19|30|30|羅得因為怕住在瑣珥，就同他兩個女兒從瑣珥上去，住在山裡；他和兩個女兒住在一個洞裡。|zh
975|19|30|30|Then Lot went up out of Zoar to the mountain, and was living there with his two daughters, for fear kept him from living in Zoar: and he and his daughters made their living-place in a hole in the rock.|en
976|19|31|31|大女兒對小女兒說：我們的父親老了，地上又無人按著世上的常規進到我們這裡。|zh
977|19|31|31|And the older daughter said to her sister, Our father is old, and there is no man to be a husband to us in the natural way:|en
978|19|32|32|來！我們可以叫父親喝酒，與他同寢。這樣，我們好從他存留後裔。|zh
979|19|32|32|Come, let us give our father much wine, and we will go into his bed, so that we may have offspring by our father,|en
980|19|33|33|於是，那夜他們叫父親喝酒，大女兒就進去和他父親同寢；他幾時躺下，幾時起來，父親都不知道。|zh
981|19|33|33|And that night they made their father take much wine; and the older daughter went into his bed; and he had no knowledge of when she went in or when she went away.|en
982|19|34|34|第二天，大女兒對小女兒說：我昨夜與父親同寢。今夜我們再叫他喝酒，你可以進去與他同寢。這樣，我們好從父親存留後裔。|zh
983|19|34|34|And on the day after, the older daughter said to the younger, Last night I was with my father; let us make him take much wine this night again, and do you go to him, so that we may have offspring by our father.|en
984|19|35|35|於是，那夜他們又叫父親喝酒，小女兒起來與他父親同寢；他幾時躺下，幾時起來，父親都不知道。|zh
985|19|35|35|And that night again they made their father take much wine; and the younger daughter went into his bed; and he had no knowledge of when she went in or when she went away.|en
986|19|36|36|這樣，羅得的兩個女兒都從他父親懷了孕。|zh
987|19|36|36|And so the two daughters of Lot were with child by their father.|en
988|19|37|37|大女兒生了兒子，給他起名叫摩押，就是現今摩押人的始祖。|zh
989|19|37|37|And the older daughter had a son, and she gave him the name Moab: he is the father of the Moabites to this day.|en
990|19|38|38|小女兒也生了兒子，給他起名叫便亞米，就是現今亞捫人的始祖。|zh
991|19|38|38|And the younger had a son and gave him the name Ben-ammi: from him come the children of Ammon to this day.|en
992|20|1|1|亞伯拉罕從那裡向南地遷去，寄居在加低斯和書珥中間的基拉耳。|zh
993|20|1|1|And Abraham went on his way from there to the land of the South, and was living between Kadesh and Shur, in Gerar.|en
994|20|2|2|亞伯拉罕稱他的妻撒拉為妹子，基拉耳王亞比米勒差人把撒拉取了去。|zh
995|20|2|2|And Abraham said of Sarah, his wife, She is my sister: and Abimelech, king of Gerar, sent and took Sarah.|en
996|20|3|3|但夜間，神來，在夢中對亞比米勒說：你是個死人哪！因為你取了那女人來；他原是別人的妻子。|zh
997|20|3|3|But God came to Abimelech in a dream in the night, and said to him, Truly you are a dead man because of the woman whom you have taken; for she is a man's wife.|en
998|20|4|4|亞比米勒卻還沒有親近撒拉；他說：主阿，連有義的國，你也要毀滅麼？|zh
999|20|4|4|Now Abimelech had not come near her; and he said, Lord, will you put to death an upright nation?|en
1000|20|5|5|那人豈不是自己對我說他是我的妹子麼？就是女人也自己說：他是我的哥哥。我作這事是心正手潔的。|zh
1001|20|5|5|Did he not say to me himself, She is my sister? and she herself said, He is my brother: with an upright heart and clean hands have I done this.|en
1002|20|6|6|神在夢中對他說：我知道你作這事是心中正直；我也攔阻了你，免得你得罪我，所以我不容你沾著他。|zh
1003|20|6|6|And God said to him in the dream, I see that you have done this with an upright heart, and I have kept you from sinning against me: for this reason I did not let you come near her.|en
1004|20|7|7|現在你把這人的妻子歸還他；因為他是先知，他要為你禱告，使你存活。你若不歸還他，你當知道，你和你所有的人都必要死。|zh
1005|20|7|7|So now, give the man back his wife, for he is a prophet, and let him say a prayer for you, so your life may be safe: but if you do not give her back, be certain that death will come to you and all your house.|en
1006|20|8|8|亞比米勒清早起來，召了眾臣僕來，將這些事都說給他們聽，他們都甚懼怕。|zh
1007|20|8|8|So Abimelech got up early in the morning and sent for all his servants and gave them word of these things, and they were full of fear.|en
1008|20|9|9|亞比米勒召了亞伯拉罕來，對他說：你怎麼向我這樣行呢？我在甚麼事上得罪了你，你竟使我和我國裡的人陷在大罪裡？你向我行不當行的事了！|zh
1009|20|9|9|Then Abimelech sent for Abraham, and said, What have you done to us? what wrong have I done you that you have put on me and on my kingdom so great a sin? You have done to me things which are not to be done.|en
1010|20|10|10|亞比米勒又對亞伯拉罕說：你見了甚麼才做這事呢？|zh
1011|20|10|10|And Abimelech said to Abraham, Why did you do this thing?|en
1012|20|11|11|亞伯拉罕說：我以為這地方的人總不懼怕神，必為我妻子的緣故殺我。|zh
1013|20|11|11|And Abraham said, Because it seemed to me that there was no fear of God in this place, and that they might put me to death because of my wife.|en
1014|20|12|12|況且他也實在是我的妹子；他與我是同父異母，後來作了我的妻子。|zh
1015|20|12|12|And, in fact, she is my sister, the daughter of my father, but not the daughter of my mother; and she became my wife:|en
1016|20|13|13|當神叫我離開父家、飄流在外的時候，我對他說：我們無論走到甚麼地方，你可以對人說：他是我的哥哥；這就是你待我的恩典了。|zh
1017|20|13|13|And when God sent me wandering from my father's house, I said to her, Let this be the sign of your love for me; wherever we go, say of me, He is my brother.|en
1018|20|14|14|亞比米勒把牛、羊、僕婢賜給亞伯拉罕，又把他的妻子撒拉歸還他。|zh
1019|20|14|14|Then Abimelech gave to Abraham sheep and oxen and men-servants and women-servants, and gave him back his wife Sarah.|en
1020|20|15|15|亞比米勒又說：看哪，我的地都在你面前，你可以隨意居住；|zh
1021|20|15|15|And Abimelech said, See, all my land is before you; take whatever place seems good to you.|en
1022|20|16|16|又對撒拉說：我給你哥哥一千銀子，作為你在閤家人面前遮羞(原文作眼)的，你就在眾人面前沒有不是了。|zh
1023|20|16|16|And he said to Sarah, See, I have given to your brother a thousand bits of silver so that your wrong may be put right; now your honour is clear in the eyes of all.|en
1024|20|17|17|亞伯拉罕禱告神，　神就醫好了亞比米勒和他的妻子，並他的眾女僕，他們便能生育。|zh
1025|20|17|17|Then Abraham made prayer to God, and God made Abimelech well again, and his wife and his women-servants, so that they had children.|en
1026|20|18|18|因耶和華為亞伯拉罕的妻子撒拉的緣故，已經使亞比米勒家中的婦人不能生育。|zh
